Bank Code;Country Code;Bank Name
OKOY;LV;POHJOLA BANK PLC LATVIAN BRANCH;
RIBR;LV;REGIONALA INVESTICIJU BANKA;
RTMB;LV;RIETUMU BANKA;
RGNS;LV;RIGENSIS BANK AS;
UNLA;LV;SEB BANKA;
TPRO;LV;SIA TRANSACT PRO;
HAND;LV;SVENSKA HANDELSBANKEN AB LATVIAN BRANCH;
HABA;LV;SWEDBANK AS;
KBRB;LV;TRASTA KOMERCBANKA;
TREL;LV;TREASURY OF THE REPUBLIC OF LATVIA, THE;
